,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,mean_train_f1_score,std_train_f1_score
10,0.005996346473693848,4.915124923727108e-07,0.37578368186950684,0.03107090746592482,51,{'n_neighbors': 51},0.948051948051948,0.939060939060939,0.95,0.935871743486974,0.94325,0.005927474913803619,11,0.9416472157385796,0.9493164388129376,0.948,0.9477015323117921,0.9466662967158272,0.0029607813234183516,0.948051948051948,0.939060939060939,0.95,0.935871743486974,0.94325,0.005927474913803619,11,0.9416472157385796,0.9493164388129376,0.948,0.9477015323117921,0.9466662967158272,0.0029607813234183516,0.948051948051948,0.939060939060939,0.95,0.935871743486974,0.94325,0.005927474913803619,11,0.9416472157385796,0.9493164388129376,0.948,0.9477015323117921,0.9466662967158272,0.0029607813234183516,0.948051948051948,0.939060939060939,0.9500000000000001,0.935871743486974,0.94325,0.00592747491380365,11,0.9416472157385796,0.9493164388129376,0.948,0.9477015323117921,0.9466662967158272,0.0029607813234183516
11,0.005995690822601318,0.0012245588505446058,0.43053460121154785,0.03862064868337261,56,{'n_neighbors': 56},0.949050949050949,0.936063936063936,0.949,0.9348697394789579,0.94225,0.006792028860683407,12,0.9393131043681227,0.9479826608869624,0.9466666666666667,0.9467021985343105,0.9451661576140156,0.003420594689220207,0.949050949050949,0.936063936063936,0.949,0.9348697394789579,0.94225,0.006792028860683407,12,0.9393131043681227,0.9479826608869624,0.9466666666666667,0.9467021985343105,0.9451661576140156,0.003420594689220207,0.949050949050949,0.936063936063936,0.949,0.9348697394789579,0.94225,0.006792028860683407,12,0.9393131043681227,0.9479826608869624,0.9466666666666667,0.9467021985343105,0.9451661576140156,0.003420594689220207,0.949050949050949,0.936063936063936,0.949,0.9348697394789579,0.94225,0.006792028860683407,12,0.9393131043681227,0.9479826608869624,0.9466666666666667,0.9467021985343105,0.9451661576140156,0.003420594689220207
12,0.005377709865570068,0.0004167089711286472,0.40846043825149536,0.015139298892020392,61,{'n_neighbors': 61},0.948051948051948,0.9310689310689311,0.949,0.935871743486974,0.941,0.00772578271724172,13,0.9389796598866289,0.9469823274424808,0.9453333333333334,0.9437041972018654,0.9437498794660771,0.0029880230828801977,0.948051948051948,0.9310689310689311,0.949,0.935871743486974,0.941,0.00772578271724172,13,0.9389796598866289,0.9469823274424808,0.9453333333333334,0.9437041972018654,0.9437498794660771,0.0029880230828801977,0.948051948051948,0.9310689310689311,0.949,0.935871743486974,0.941,0.00772578271724172,13,0.9389796598866289,0.9469823274424808,0.9453333333333334,0.9437041972018654,0.9437498794660771,0.0029880230828801977,0.948051948051948,0.9310689310689311,0.949,0.935871743486974,0.941,0.00772578271724172,13,0.9389796598866289,0.9469823274424808,0.9453333333333334,0.9437041972018654,0.9437498794660771,0.0029880230828801977
13,0.0057433247566223145,0.0008278716258837638,0.45180124044418335,0.04453677327978806,66,{'n_neighbors': 66},0.949050949050949,0.9310689310689311,0.947,0.9328657314629258,0.94,0.008087665711274809,14,0.9376458819606536,0.9443147715905301,0.9393333333333334,0.9433710859427049,0.9411662682068055,0.002762565129474237,0.949050949050949,0.9310689310689311,0.947,0.9328657314629258,0.94,0.008087665711274809,14,0.9376458819606536,0.9443147715905301,0.9393333333333334,0.9433710859427049,0.9411662682068055,0.002762565129474237,0.949050949050949,0.9310689310689311,0.947,0.9328657314629258,0.94,0.008087665711274809,14,0.9376458819606536,0.9443147715905301,0.9393333333333334,0.9433710859427049,0.9411662682068055,0.002762565129474237,0.949050949050949,0.9310689310689311,0.9469999999999998,0.932865731462926,0.94,0.008087665711274762,14,0.9376458819606536,0.9443147715905301,0.9393333333333334,0.9433710859427049,0.9411662682068055,0.002762565129474237
14,0.00576859712600708,0.00043123302243790564,0.4272981286048889,0.04679253137657788,71,{'n_neighbors': 71},0.948051948051948,0.9310689310689311,0.94,0.9318637274549099,0.93775,0.006902155290352947,15,0.9359786595531844,0.9416472157385796,0.934,0.9420386409060626,0.9384161290494567,0.003500213088891525,0.948051948051948,0.9310689310689311,0.94,0.9318637274549099,0.93775,0.006902155290352947,15,0.9359786595531844,0.9416472157385796,0.934,0.9420386409060626,0.9384161290494567,0.003500213088891525,0.948051948051948,0.9310689310689311,0.94,0.9318637274549099,0.93775,0.006902155290352947,15,0.9359786595531844,0.9416472157385796,0.934,0.9420386409060626,0.9384161290494567,0.003500213088891525,0.948051948051948,0.9310689310689311,0.94,0.9318637274549099,0.93775,0.006902155290352947,15,0.9359786595531844,0.9416472157385796,0.934,0.9420386409060626,0.9384161290494567,0.003500213088891525
15,0.005376160144805908,0.00041580276666224226,0.4914178252220154,0.057967484660788035,76,{'n_neighbors': 76},0.945054945054945,0.929070929070929,0.937,0.9298597194388778,0.93525,0.006451970575347791,16,0.9326442147382461,0.940646882294098,0.9306666666666666,0.941039307128581,0.9362492677068979,0.0046487991191276785,0.945054945054945,0.929070929070929,0.937,0.9298597194388778,0.93525,0.006451970575347791,16,0.9326442147382461,0.940646882294098,0.9306666666666666,0.941039307128581,0.9362492677068979,0.0046487991191276785,0.945054945054945,0.929070929070929,0.937,0.9298597194388778,0.93525,0.006451970575347791,16,0.9326442147382461,0.940646882294098,0.9306666666666666,0.941039307128581,0.9362492677068979,0.0046487991191276785,0.945054945054945,0.929070929070929,0.937,0.9298597194388778,0.93525,0.006451970575347791,16,0.9326442147382461,0.940646882294098,0.9306666666666666,0.941039307128581,0.9362492677068979,0.0046487991191276785
16,0.005245864391326904,0.0004321210752492012,0.5007548332214355,0.04285295745980376,81,{'n_neighbors': 81},0.9410589410589411,0.9240759240759241,0.937,0.9298597194388778,0.933,0.006530158631894112,17,0.9293097699233077,0.9339779926642214,0.9303333333333333,0.9400399733510992,0.9334152673179905,0.004199905230595383,0.9410589410589411,0.9240759240759241,0.937,0.9298597194388778,0.933,0.006530158631894112,17,0.9293097699233077,0.9339779926642214,0.9303333333333333,0.9400399733510992,0.9334152673179905,0.004199905230595383,0.9410589410589411,0.9240759240759241,0.937,0.9298597194388778,0.933,0.006530158631894112,17,0.9293097699233077,0.9339779926642214,0.9303333333333333,0.9400399733510992,0.9334152673179905,0.004199905230595383,0.9410589410589411,0.9240759240759241,0.937,0.9298597194388778,0.933,0.006530158631894112,17,0.9293097699233077,0.9339779926642214,0.9303333333333333,0.9400399733510992,0.9334152673179905,0.004199905230595383
17,0.006009697914123535,0.0007067613157567448,0.442981481552124,0.011033209361570265,86,{'n_neighbors': 86},0.938061938061938,0.9230769230769231,0.935,0.9258517034068137,0.9305,0.006209080268698296,18,0.9279759919973325,0.9326442147382461,0.929,0.9333777481678881,0.9307494887258667,0.0023049256637517755,0.938061938061938,0.9230769230769231,0.935,0.9258517034068137,0.9305,0.006209080268698296,18,0.9279759919973325,0.9326442147382461,0.929,0.9333777481678881,0.9307494887258667,0.0023049256637517755,0.938061938061938,0.9230769230769231,0.935,0.9258517034068137,0.9305,0.006209080268698296,18,0.9279759919973325,0.9326442147382461,0.929,0.9333777481678881,0.9307494887258667,0.0023049256637517755,0.938061938061938,0.9230769230769231,0.935,0.9258517034068137,0.9305,0.006209080268698296,18,0.9279759919973325,0.9326442147382461,0.929,0.9333777481678881,0.9307494887258667,0.0023049256637517755
18,0.0059958696365356445,6.419616707723741e-07,0.46873271465301514,0.0611681750979579,91,{'n_neighbors': 91},0.935064935064935,0.9230769230769231,0.935,0.9238476953907816,0.92925,0.0057918324854217005,19,0.9279759919973325,0.9326442147382461,0.929,0.9300466355762825,0.9299167105779653,0.0017365847476083348,0.935064935064935,0.9230769230769231,0.935,0.9238476953907816,0.92925,0.0057918324854217005,19,0.9279759919973325,0.9326442147382461,0.929,0.9300466355762825,0.9299167105779653,0.0017365847476083348,0.935064935064935,0.9230769230769231,0.935,0.9238476953907816,0.92925,0.0057918324854217005,19,0.9279759919973325,0.9326442147382461,0.929,0.9300466355762825,0.9299167105779653,0.0017365847476083348,0.935064935064935,0.9230769230769231,0.935,0.9238476953907816,0.92925,0.0057918324854217005,19,0.9279759919973325,0.9326442147382461,0.929,0.9300466355762825,0.9299167105779653,0.0017365847476083348
19,0.00537341833114624,0.0004149923942808924,0.4620002508163452,0.034944252342647274,96,{'n_neighbors': 96},0.9330669330669331,0.9230769230769231,0.934,0.9218436873747495,0.928,0.0055629307105595615,20,0.9266422140713572,0.9323107702567522,0.929,0.929713524317122,0.9294166271613078,0.0020208388334592687,0.9330669330669331,0.9230769230769231,0.934,0.9218436873747495,0.928,0.0055629307105595615,20,0.9266422140713572,0.9323107702567522,0.929,0.929713524317122,0.9294166271613078,0.0020208388334592687,0.9330669330669331,0.9230769230769231,0.934,0.9218436873747495,0.928,0.0055629307105595615,20,0.9266422140713572,0.9323107702567522,0.929,0.929713524317122,0.9294166271613078,0.0020208388334592687,0.9330669330669331,0.9230769230769231,0.934,0.9218436873747495,0.928,0.0055629307105595615,20,0.926642214071357,0.9323107702567522,0.929,0.929713524317122,0.9294166271613078,0.002020838833459307
