,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
10,0.02583557367324829,0.003761496315149558,0.8496348261833191,0.01963106821327655,51,{'n_neighbors': 51},0.9201596806387226,0.92,0.916,0.908817635270541,0.91625,0.0045981175301137624,11,0.9201596806387226,0.92,0.916,0.908817635270541,0.91625,0.0045981175301137624,11,0.9201596806387226,0.92,0.916,0.908817635270541,0.91625,0.0045981175301137624,11,0.9201596806387226,0.92,0.916,0.908817635270541,0.91625,0.0045981175301137624,11
11,0.026512444019317627,0.002079754738776221,0.8834317922592163,0.027347855137157834,56,{'n_neighbors': 56},0.9161676646706587,0.919,0.914,0.905811623246493,0.91375,0.004908502380928682,12,0.9161676646706587,0.919,0.914,0.905811623246493,0.91375,0.004908502380928682,12,0.9161676646706587,0.919,0.914,0.905811623246493,0.91375,0.004908502380928682,12,0.9161676646706587,0.919,0.914,0.905811623246493,0.91375,0.004908502380928682,12
12,0.02653580904006958,0.0025700019085971113,0.9140722751617432,0.01004493057932226,61,{'n_neighbors': 61},0.9161676646706587,0.92,0.91,0.9038076152304609,0.9125,0.006151932735742939,13,0.9161676646706587,0.92,0.91,0.9038076152304609,0.9125,0.006151932735742939,13,0.9161676646706587,0.92,0.91,0.9038076152304609,0.9125,0.006151932735742939,13,0.9161676646706587,0.92,0.91,0.9038076152304609,0.9125,0.006151932735742939,13
13,0.027736425399780273,0.006260762414352864,0.9392112493515015,0.021481858492111885,66,{'n_neighbors': 66},0.9161676646706587,0.908,0.907,0.8947895791583166,0.9065,0.0076323383710601034,14,0.9161676646706587,0.908,0.907,0.8947895791583166,0.9065,0.0076323383710601034,14,0.9161676646706587,0.908,0.907,0.8947895791583166,0.9065,0.0076323383710601034,14,0.9161676646706587,0.908,0.907,0.8947895791583166,0.9065,0.0076323383710601034,14
14,0.02418684959411621,0.00407631762747561,0.9550259709358215,0.013913070628024,71,{'n_neighbors': 71},0.9101796407185628,0.906,0.907,0.8957915831663327,0.90475,0.005391142875836805,15,0.9101796407185628,0.906,0.907,0.8957915831663327,0.90475,0.005391142875836805,15,0.9101796407185628,0.906,0.907,0.8957915831663327,0.90475,0.005391142875836805,15,0.9101796407185628,0.906,0.907,0.8957915831663327,0.90475,0.005391142875836805,15
15,0.02469879388809204,0.002290455066429779,0.8858470320701599,0.08599040081820278,76,{'n_neighbors': 76},0.9001996007984032,0.902,0.907,0.8947895791583166,0.901,0.004362743074501268,16,0.9001996007984032,0.902,0.907,0.8947895791583166,0.901,0.004362743074501268,16,0.9001996007984032,0.902,0.907,0.8947895791583166,0.901,0.004362743074501268,16,0.9001996007984033,0.902,0.907,0.8947895791583166,0.901,0.0043627430745012625,16
16,0.02356743812561035,0.0014455792684953705,0.6919537782669067,0.05783074010898908,81,{'n_neighbors': 81},0.8982035928143712,0.898,0.903,0.8907815631262525,0.8975,0.004360136241352145,17,0.8982035928143712,0.898,0.903,0.8907815631262525,0.8975,0.004360136241352145,17,0.8982035928143712,0.898,0.903,0.8907815631262525,0.8975,0.004360136241352145,17,0.8982035928143712,0.898,0.903,0.8907815631262525,0.8975,0.004360136241352145,17
17,0.01382291316986084,0.0032040199564971907,0.9020403623580933,0.04674039331630237,86,{'n_neighbors': 86},0.8992015968063872,0.897,0.902,0.8917835671342685,0.8975,0.003742107429440274,17,0.8992015968063872,0.897,0.902,0.8917835671342685,0.8975,0.003742107429440274,17,0.8992015968063872,0.897,0.902,0.8917835671342685,0.8975,0.003742107429440274,17,0.8992015968063873,0.897,0.902,0.8917835671342687,0.8975,0.0037421074294402444,17
18,0.022179126739501953,0.0028206061910773118,0.9836772680282593,0.006998742835803104,91,{'n_neighbors': 91},0.8962075848303394,0.894,0.902,0.8797595190380761,0.893,0.008174180281159286,19,0.8962075848303394,0.894,0.902,0.8797595190380761,0.893,0.008174180281159286,19,0.8962075848303394,0.894,0.902,0.8797595190380761,0.893,0.008174180281159286,19,0.8962075848303394,0.894,0.902,0.8797595190380761,0.893,0.008174180281159286,19
19,0.02677828073501587,0.0016517446302128154,0.8756344318389893,0.04080275510297852,96,{'n_neighbors': 96},0.8882235528942116,0.89,0.894,0.8777555110220441,0.8875,0.0059956177988370225,20,0.8882235528942116,0.89,0.894,0.8777555110220441,0.8875,0.0059956177988370225,20,0.8882235528942116,0.89,0.894,0.8777555110220441,0.8875,0.0059956177988370225,20,0.8882235528942116,0.89,0.894,0.877755511022044,0.8875,0.005995617798837068,20
